"Name","Status","Description","References","Phase","Votes","Comments"
CVE-1999-0001,Candidate,"ip_input.c in BSD-derived TCP/IP implementations allows remote attackers to cause a denial of service (crash or hang) via crafted packets.","BUGTRAQ:19981223 Re: CERT Advisory CA-98.13 - TCP/IP Denial of Service   |   CERT:CA-98-13-tcp-denial-of-service   |   CONFIRM:http://www.openbsd.org/errata23.html#tcpfix   |   OSVDB:5707   |   URL:http://www.osvdb.org/5707",Modified (20051217),"   MODIFY(1) Frech  |     NOOP(2) Northcutt, Wall  |     REVIEWING(1) Christey","Christey> A Bugtraq posting indicates that the bug has to do with  |    ""short packets with certain options set,"" so the description  |    should be modified accordingly.  |      |    But is this the same as CVE-1999-0052?  That one is related  |    to nestea (CVE-1999-0257) and probably the one described in  |    BUGTRAQ:19981023 nestea v2 against freebsd 3.0-Release  |    The patch for nestea is in ip_input.c around line 750.  |    The patches for CVE-1999-0001 are in lines 388&446.  So,   |    CVE-1999-0001 is different from CVE-1999-0257 and CVE-1999-0052.  |    The FreeBSD patch for CVE-1999-0052 is in line 750.  |    So, CVE-1999-0257 and CVE-1999-0052 may be the same, though  |    CVE-1999-0052 should be RECAST since this bug affects Linux  |    and other OSes besides FreeBSD.  |    Frech> XF:teardrop(338)  |    This assignment was based solely on references to the CERT advisory.  |    Christey> The description for BID:190, which links to CVE-1999-0052 (a  |    FreeBSD advisory), notes that the patches provided by FreeBSD in  |    CERT:CA-1998-13 suggest a connection between CVE-1999-0001 and  |    CVE-1999-0052.  CERT:CA-1998-13 is too vague to be sure without  |    further analysis."
CVE-1999-0002,Entry,"Buffer overflow in NFS mountd gives root access to remote attackers, mostly in Linux systems.","BID:121   |   URL:http://www.securityfocus.com/bid/121   |   CERT:CA-98.12.mountd   |   CIAC:J-006   |   URL:http://www.ciac.org/ciac/bulletins/j-006.shtml   |   SGI:19981006-01-I   |   URL:ftp://patches.sgi.com/support/free/security/advisories/19981006-01-I   |   XF:linux-mountd-bo",,"",""
CVE-1999-0003,Entry,"Execute commands as root via buffer overflow in Tooltalk database server (rpc.ttdbserverd).","BID:122   |   URL:http://www.securityfocus.com/bid/122   |   CERT:CA-98.11.tooltalk   |   NAI:NAI-29   |   SGI:19981101-01-A   |   URL:ftp://patches.sgi.com/support/free/security/advisories/19981101-01-A   |   SGI:19981101-01-PX   |   URL:ftp://patches.sgi.com/support/free/security/advisories/19981101-01-PX   |   XF:aix-ttdbserver   |   XF:tooltalk",,"",""
CVE-1999-0004,Candidate,"MIME buffer overflow in email clients, e.g. Solaris mailtool and Outlook.","CERT:CA-98.10.mime_buffer_overflows   |   MS:MS98-008   |   URL:https://docs.microsoft.com/en-us/security-updates/securitybulletins/1998/ms98-008   |   SUN:00175   |   XF:outlook-long-name",Modified (19990621),"   ACCEPT(8) Baker, Cole, Collins, Dik, Landfield, Magdych, Northcutt, Wall  |     MODIFY(1) Frech  |     NOOP(1) Christey  |     REVIEWING(1) Shostack","Frech> Extremely minor, but I believe e-mail is the correct term. (If you reject  |    this suggestion, I will not be devastated.) :-)  |    Christey> This issue seems to have been rediscovered in  |    BUGTRAQ:20000515 Eudora Pro & Outlook Overflow - too long filenames again  |    http://marc.theaimsgroup.com/?l=bugtraq&m=95842482413076&w=2  |      |    Also see  |    BUGTRAQ:19990320 Eudora Attachment Buffer Overflow  |    http://marc.theaimsgroup.com/?l=bugtraq&m=92195396912110&w=2  |    Christey>    |    CVE-2000-0415 may be a later rediscovery of this problem  |    for Outlook.  |    Dik> Sun bug 4163471,  |    Christey> ADDREF BID:125  |    Christey> BUGTRAQ:19980730 Long Filenames & Lotus Products  |    URL:http://marc.theaimsgroup.com/?l=bugtraq&m=90221104526201&w=2"
CVE-1999-0005,Entry,"Arbitrary command execution via IMAP buffer overflow in authenticate command.","BID:130   |   URL:http://www.securityfocus.com/bid/130   |   CERT:CA-98.09.imapd   |   SUN:00177   |   URL:http://sunsolve.sun.com/pub-cgi/retrieve.pl?doctype=coll&doc=secbull/177   |   XF:imap-authenticate-bo",,"",""
CVE-1999-0006,Entry,"Buffer overflow in POP servers based on BSD/Qualcomm's qpopper allows remote attackers to gain root access using a long PASS command.","AUSCERT:AA-98.01   |   BID:133   |   URL:http://www.securityfocus.com/bid/133   |   CERT:CA-98.08.qpopper_vul   |   SGI:19980801-01-I   |   URL:ftp://patches.sgi.com/support/free/security/advisories/19980801-01-I   |   XF:qpopper-pass-overflow",,"",""
CVE-1999-0007,Entry,"Information from SSL-encrypted sessions via PKCS #1.","CERT:CA-98.07.PKCS   |   MS:MS98-002   |   URL:https://docs.microsoft.com/en-us/security-updates/securitybulletins/1998/ms98-002   |   XF:nt-ssl-fix",,"",""
CVE-1999-0008,Entry,"Buffer overflow in NIS+, in Sun's rpc.nisd program.","CERT:CA-98.06.nisd   |   ISS:June10,1998   |   SUN:00170   |   URL:http://sunsolve.sun.com/pub-cgi/retrieve.pl?doctype=coll&doc=secbull/170   |   XF:nisd-bo-check",,"",""
CVE-1999-0009,Entry,"Inverse query buffer overflow in BIND 4.9 and BIND 8 Releases.","BID:134   |   URL:http://www.securityfocus.com/bid/134   |   CERT:CA-98.05.bind_problems   |   HP:HPSBUX9808-083   |   URL:http://www1.itrc.hp.com/service/cki/docDisplay.do?docId=HPSBUX9808-083   |   SGI:19980603-01-PX   |   URL:ftp://patches.sgi.com/support/free/security/advisories/19980603-01-PX   |   SUN:00180   |   URL:http://sunsolve.sun.com/pub-cgi/retrieve.pl?doctype=coll&doc=secbull/180   |   XF:bind-bo",,"",""
CVE-1999-0010,Entry,"Denial of Service vulnerability in BIND 8 Releases via maliciously formatted DNS messages.","CERT:CA-98.05.bind_problems   |   HP:HPSBUX9808-083   |   URL:http://www1.itrc.hp.com/service/cki/docDisplay.do?docId=HPSBUX9808-083   |   SGI:19980603-01-PX   |   URL:ftp://patches.sgi.com/support/free/security/advisories/19980603-01-PX   |   XF:bind-dos",,"",""
